owner,control,device,type,css,expected,status,detail
loop-carousel,arrows_normal_box_shadow_box_shadow,,box_shadow,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_padding,,dimensions,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,dots_gap,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,dots_horizontal_offset,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,dots_hover_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,dots_normal_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,dots_pagination_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,dots_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,dots_vertical_offset,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,equal_height,,switcher,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,fraction_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,fraction_horizontal_offset,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,fraction_pagination_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,fraction_vertical_offset,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,navigation_next_icon_horizontal_position,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
